movietitle;budget;release_month;duration_minutes;total_number_of_spoken_languages;total_number_of_genres;genre_action;genre_adventure;genre_animation;genre_biography;genre_comedy;genre_documentary;genre_drama;genre_family;genre_fantasy;genre_filmnoir;genre_history;genre_horror;genre_music;genre_musical;genre_scifi;genre_shortfilm;genre_thriller;genre_war;main_actor1_is_female;total_number_of_actors
Mickey and the bear;0;11;88;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;7
Noelle;0;11;90;1;3;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;100
Atlantics;0;11;104;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9
Charlie's Angels;48000000;11;119;1;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26
Ford v Ferrari;97600000;11;152;1;4;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;192
The good liar;0;11;109;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;47
The report;0;11;119;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;63
Waves;0;11;135;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;80
21 bridges;0;11;99;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;171
A beautiful day in the neighborhood;45000000;11;108;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;67
Dark waters;0;11;126;1;3;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;97
Frozen II;0;11;120;1;6;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;6
